EndNote_ID,Pubmed_ID,Analytic_Method_Name,Real_World_Evidence,,Year,,,,
1230,24129480,Cox proportional hazard models,0,2013,,,,,
1230,24129480,Sensitivity analysis,Real-World Evidence,2013,,,,,
1564,21694510,Sensitivity analysis,Real-World Evidence,2011,,,,,
1564,21694510,Statistic testing,0,2011,,,,,
1564,21694510,Multivariate Logistic Regression,0,2011,,,,,
4297,19758356,Multivariate Logistic Regression,0,2010,,,,,
4297,19758356,Linear Regression,0,2010,,,,,
3532,21250801,Logistic Regression,0,2011,,,,,
3380,20559661,Hypothesis test,0,2011,,,,,
5500,20478063,Descriptive statistics,0,2010,,,,,
5500,20478063,Hypothesis test,0,2010,,,,,
1666,21325114,Generalized Estimating Equations,0,2011,,,,,
1662,24454576,Intention-to-Treat Analysis,0,2013,,,,,
1662,24454576,descriptive statistics,0,2013,,,,,
3484,23278363,multivariate Logistic Regression,0,2013,,,,,
4492,20684459,multivariate Logistic Regression,0,2010,,,,,
4492,20684459,Confounding,Real-World Evidence,2010,,,,,
3697,23427784,Multivariate linear regression ,0,2013,,confounding adjustment/control,,,
3697,23427784,descriptive statistics,0,2013,,,,,
1279,23822929,Doubly Robust Methods,Real-World Evidence,2013,,,,,
1279,23822929,Inverse Probability,Real-World Evidence,2013,,IPTW,,,
1279,23822929,Confounding,Real-World Evidence,2013,,,,,
5245,21499086,Multiple logistic regression,0,2011,,,,,
5425,30919460,Statistic Testing,0,2020,,,,,
2001,22930781,Statistic Testing,0,2012,,,,,
3017,24064890,Statistic testing,0,2013,,,,,
3017,24064890,Multiple logistic regression,0,2013,,,,,
3017,24064890,Sensitivity analysis,Real-World Evidence,2013,,,,,
5515,21460509,Statistic testing,0,2011,,,,,
5515,21460509,Cox proportional hazard models,0,2011,,,,,
4678,23811246,Multivariate Logistic Regression,0,2013,,,,,
1694,22183839,hypothesis test,0,2012,,,,,
3197,31167871,Logistic Regression,0,2019,,,,,
3197,31167871,Poisson regression,0,2019,,,,,
3197,31167871,Sensitivity analysis,Real-World Evidence,2019,,,,,
1259,31306445,Multivariate Logistic Regression,0,2019,,,,,
1259,31306445,statistic testing,0,2019,,,,,
1538,31881945,statistic testing,0,2019,,,,,
3304,31332959,Descriptive statistics,0,2019,,,,,
3304,31332959,Cox proportional hazard models,0,2019,,,,,
1717,31210654,descriptive statistics,0,2019,,,,,
1717,31210654,logistic Regression,0,2019,,,,,
3648,31262381,Multivariate linear regression ,0,2019,,,,,
4782,31764745,logistic Regression,0,2019,,,,,
4782,31764745,descriptive statistics,0,2019,,,,,
1449,30357329,Multivariate Logistic Regression,0,2019,,,,,
3576,30782738,logistic Regression,0,2019,,,,,
3576,30782738,descriptive statistics,0,2019,,,,,
4966,31050078,Mixed -effects Regression Model,0,2019,,,,,
4966,31050078,Propensity Score,Real-World Evidence,2019,,,,,
4966,31050078,Sensitivity analysis,Real-World Evidence,2019,,,,,
4012,30576649,Kaplan-Meier method,0,2019,,,,,
4012,30576649,descriptive statistics,0,2019,,,,,
3080,30476614,Gamma Regression,0,2019,,,,,
3080,30476614,statistic testing,0,2019,,,,,
2463,31353082,logistic Regression,0,2019,,,,,
4634,21505781,Multivariate linear regression ,0,2012,,,,,
4424,31048085,Hypothesis test,0,2019,,,,,
5269,31506197,Statistic testing,0,2019,,,,,
914,30555003,Multiple logistic regression,0,2019,,,,,
914,30555003,statistic testing,0,2019,,,,,
3772,30618280,Multiple logistic regression,0,2019,,,,,
5454,30953972,kaplan-Meier method,0,2019,,,,,
5454,30953972,descriptive statistics,0,2019,,,,,
1220,31025592,propensity Score,Real-World Evidence,2019,,,,,
1220,31025592,logistic Regression,0,2019,,,,,
3115,31824165,descriptive statistics,0,2019,,,,,
3115,31824165,propensity Score,Real-World Evidence,2019,,,,,
3115,31824165,kaplan-Meier method,0,2019,,,,,
3115,31824165,statistic testing,0,2019,,,,,
3115,31824165,Cox proportional hazard models,0,2019,,,,,
2696,30947777,logistic Regression,0,2019,,,,,
957,31537841,Confounding,Real-World Evidence,2019,,,,,
957,31537841,logistic Regression,0,2019,,,,,
4382,30198104,Cox proportional hazard models,0,2019,,,,,
4382,30198104,descriptive statistics,0,2019,,,,,
2435,31578115,descriptive statistics,0,2019,,,,,
5201,30853444,Descriptive statistics,0,2019,,,,,
1504,31306041,kaplan-Meier method,0,2019,,,,,
1835,30064842,Cox proportional hazard models,0,2018,,,,,
1835,30064842,logistic Regression,0,2018,,,,,
1835,30064842,kaplan-Meier method,0,2018,,,,,
1835,30064842,statistic testing,0,2018,,,,,
1901,29317808,Multivariate Logistic Regression,0,2018,,,,,
1901,29317808,statistic testing,0,2018,,,,,
3762,29501610,Instrumental Variable,Real-World Evidence,2018,,,,,
4362,29859388,statistic testing,0,2018,,,,,
4362,29859388,Linear Regression,0,2018,,,,,
4427,30152644,Post-hoc anaysis,0,2018,post hoc analysis ,,,,
4427,30152644,logistic regression,0,2018,,,,,
2212,29264632,Linear Regression,0,2018,,,,,
2212,29264632,kaplan-Meier method,0,2018,,,,,
2212,29264632,Cox proportional hazard models,0,2018,,,,,
4926,29959781,descriptive statistics,0,2018,,,,,
4926,29959781,logistic Regression,0,2018,,,,,
4926,29959781,Confounding,Real-World Evidence,2018,,,,,
5783,30086666,Cox proportional hazard models,0,2018,,,,,
5783,30086666,kaplan-Meier method,0,2018,,,,,
1930,27311740,statistic testing,0,2018,,,,,
1930,27311740,Multivariate Logistic Regression,0,2018,,,,,
1930,27311740,logistic Regression,0,2018,,,,,
4857,30086257,Logistic Regression,0,2018,,,,,
4857,30086257,descriptive statistics,0,2018,,,,,
3707,29436391,Multiple logistic regression,0,2018,,,,,
3707,29436391,statistic testing,0,2018,,,,,
1822,30100717,logistic Regression,0,2018,,,,,
1822,30100717,Cox proportional hazard models,0,2018,,,,,
1822,30100717,Linear Regression,0,2018,,,,,
1822,30100717,statistic Testing,0,2018,,,,,
4692,29539612,Cox proportional hazard models,0,2018,,,,,
4692,29539612,kaplan-Meier method,0,2018,,,,,
4692,29539612,multiple logistic regression,0,2018,,,,,
4692,29539612,statistic testing,0,2018,,,,,
4528,28988204,Propensity Score,Real-World Evidence,2018,,,,,
4528,28988204,Sensitivity analysis,Real-World Evidence,2018,,,,,
4528,28988204,Cox proportional hazard models,0,2018,,,,,
4528,28988204,Confounding,Real-World Evidence,2018,,,,,
700,29474095,Linear Regression,0,2018,,,,,
700,29474095,statistic Testing,0,2018,,,,,
3497,29129272,multivariate Logistic Regression,0,2018,,,,,
3497,29129272,statistic Testing,0,2018,,,,,
3497,29129272,Confounding,Real-World Evidence,2018,,,,,
2851,29936983,mixed -effects Regression Model,0,2018,,,,,
2851,29936983,Logistic Regression,0,2018,,,,,
3369,29253844,Multiple logistic regression,0,2018,,,,,
3369,29253844,Sensitivity analysis,Real-World Evidence,2018,,,,,
775,29894495,descriptive statistics,0,2018,,,,,
775,29894495, hierarchical generalized linear model,0,2018,,,,,
775,29894495,Sensitivity analysis,Real-World Evidence,2018,,,,,
3089,30429928,logistic Regression,0,2018,,,,,
3089,30429928,statistic Testing,0,2018,,,,,
4762,30192850,Cox proportional hazard models,0,2018,,,,,
4762,30192850,Missing Data,Real-World Evidence,2018,,,,,
5740,29976189, hierarchical generalized linear model,0,2018,,,,,
3257,29564621,Multivariate Logistic Regression,0,2018,,,,,
3257,29564621,statistic testing,0,2018,,,,,
3432,30458814,logistic Regression,0,2018,,,,,
3432,30458814,statistic testing,0,2018,,,,,
2991,29054778,statistic testing,0,2018,,,,,
2991,29054778,logistic Regression,0,2018,,,,,
1357,30343594,statistic testing,0,2018,,,,,
3905,28472213,statistic testing,0,2017,,,,,
3905,28472213,logistic Regression,0,2017,,,,,
3905,28472213,Sensitivity analysis,Real-World Evidence,2017,,,,,
