_ID,Journal_name,ISSN,eISSN,Category,Total_Citations,2020_JIF,JIF_Quartile,2020 _JCI,Percentage_of_OA_Gold
1,Lancet Respiratory Medicine,2213-2600,N/A,CRITICAL CARE MEDICINE - SCIE,"22,278",30.70,Q1,6.48,10.36%
2,Nature Biomedical Engineering,2157-846X,2157-846X,"ENGINEERING, BIOMEDICAL - SCIE","6,476",25.67,Q1,5.42,0.80%
3,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970,CRITICAL CARE MEDICINE - SCIE,"76,608",21.41,Q1,4.09,11.41%
4,INTENSIVE CARE MEDICINE,0342-4642,1432-1238,CRITICAL CARE MEDICINE - SCIE,"33,510",17.44,Q1,3.08,20.89%
5,Bioactive Materials,N/A,2452-199X,"ENGINEERING, BIOMEDICAL - SCIE","2,145",14.59,Q1,1.69,100.00%
6,BIOMATERIALS,0142-9612,1878-5905,"ENGINEERING, BIOMEDICAL - SCIE","126,871",12.48,Q1,2.7,6.97%
7,Bioengineering & Translational Medicine,N/A,2380-6761,"ENGINEERING, BIOMEDICAL - SCIE","1,105",10.71,Q1,1.75,100.00%
8,npj Regenerative Medicine,N/A,2057-3995,"ENGINEERING, BIOMEDICAL - SCIE",831,10.36,Q1,1.6,100.00%
9,IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,1558-254X,"ENGINEERING, BIOMEDICAL - SCIE","27,030",10.05,Q1,2.25,0.00%
10,Biofabrication,1758-5082,1758-5090,"ENGINEERING, BIOMEDICAL - SCIE","6,729",9.95,Q1,2.02,16.55%
11,Advanced Healthcare Materials,2192-2640,2192-2659,"ENGINEERING, BIOMEDICAL - SCIE","17,525",9.93,Q1,1.4,8.21%
12,Annual Review of Biomedical Engineering,1523-9829,1545-4274,"ENGINEERING, BIOMEDICAL - SCIE","5,462",9.59,Q1,n/a,1.82%
13,CHEST,0012-3692,1931-3543,CRITICAL CARE MEDICINE - SCIE,"58,778",9.41,Q1,2.08,6.24%
14,CRITICAL CARE,1364-8535,1466-609X,CRITICAL CARE MEDICINE - SCIE,"34,057",9.10,Q1,1.51,100.00%
15,Acta Biomaterialia,1742-7061,1878-7568,"ENGINEERING, BIOMEDICAL - SCIE","51,403",8.95,Q1,1.76,7.89%
16,MEDICAL IMAGE ANALYSIS,1361-8415,1361-8423,"ENGINEERING, BIOMEDICAL - SCIE","11,568",8.55,Q1,3.11,13.41%
17,Photoacoustics,2213-5979,2213-5979,"ENGINEERING, BIOMEDICAL - SCIE","1,093",8.48,Q1,1.89,100.00%
18,CRITICAL CARE MEDICINE,0090-3493,1530-0293,CRITICAL CARE MEDICINE - SCIE,"47,631",7.60,Q1,1.66,5.38%
19,Materials Today Bio,2590-0064,2590-0064,"ENGINEERING, BIOMEDICAL - SCIE",264,7.35,Q1,1.13,100.00%
20,Annals of Intensive Care,2110-5820,2110-5820,CRITICAL CARE MEDICINE - SCIE,"4,751",6.93,Q1,1.21,100.00%
21,International Journal of Bioprinting,2424-7723,2424-8002,"ENGINEERING, BIOMEDICAL - SCIE",667,6.64,Q1,1.18,89.02%
22,Tissue Engineering Part B-Reviews,1937-3368,1937-3376,"ENGINEERING, BIOMEDICAL - SCIE","4,536",6.39,Q1,0.96,5.80%
23,Bio-Design and Manufacturing,2096-5524,2522-8552,"ENGINEERING, BIOMEDICAL - SCIE",332,6.30,Q1,0.85,11.63%
24,CLINICAL ORAL IMPLANTS RESEARCH,0905-7161,1600-0501,"ENGINEERING, BIOMEDICAL - SCIE","15,673",5.98,Q1,1.58,20.64%
25,Artificial Cells Nanomedicine and Biotechnology,2169-1401,2169-141X,"ENGINEERING, BIOMEDICAL - SCIE","8,530",5.68,Q1,1.15,51.85%
26,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,0169-2607,1872-7565,"ENGINEERING, BIOMEDICAL - SCIE","12,277",5.43,Q1,1.28,4.24%
27,Journal of Neural Engineering,1741-2560,1741-2552,"ENGINEERING, BIOMEDICAL - SCIE","9,572",5.38,Q1,1.18,21.69%
28,ARTIFICIAL INTELLIGENCE IN MEDICINE,0933-3657,1873-2860,"ENGINEERING, BIOMEDICAL - SCIE","4,245",5.33,Q1,1.3,7.00%
29,JOURNAL OF NEUROTRAUMA,0897-7151,1557-9042,CRITICAL CARE MEDICINE - SCIE,"19,004",5.27,Q1,1.24,8.38%
30,RESUSCITATION,0300-9572,1873-1570,CRITICAL CARE MEDICINE - SCIE,"18,976",5.26,Q1,1.76,8.99%
31,Human Gene Therapy Clinical Development,2324-8637,2324-8645,CRITICAL CARE MEDICINE - SCIE,488,5.03,Q2,1.03,0.00%
32,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,0895-6111,1879-0771,"ENGINEERING, BIOMEDICAL - SCIE","3,232",4.79,Q1,1.36,5.24%
33,COMPUTERS IN BIOLOGY AND MEDICINE,0010-4825,1879-0534,"ENGINEERING, BIOMEDICAL - SCIE","9,751",4.59,Q2,1.13,4.77%
34,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,0018-9294,1558-2531,"ENGINEERING, BIOMEDICAL - SCIE","27,406",4.54,Q2,1.28,0.00%
35,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,1549-3296,1552-4965,"ENGINEERING, BIOMEDICAL - SCIE","20,820",4.40,Q2,0.92,5.71%
36,Biocybernetics and Biomedical Engineering,0208-5216,0208-5216,"ENGINEERING, BIOMEDICAL - SCIE","1,512",4.31,Q2,0.84,2.53%
37,Journal of NeuroEngineering and Rehabilitation,N/A,1743-0003,"ENGINEERING, BIOMEDICAL - SCIE","7,017",4.26,Q2,1.24,100.00%
38,Tissue Engineering and Regenerative Medicine,1738-2696,2212-5469,"ENGINEERING, BIOMEDICAL - SCIE","1,293",4.17,Q2,0.63,5.29%
39,Anaesthesia Critical Care & Pain Medicine,2352-5568,2352-5568,CRITICAL CARE MEDICINE - SCIE,"1,101",4.13,Q2,0.88,15.51%
40,Journal of Tissue Engineering and Regenerative Medicine,1932-6254,1932-7005,"ENGINEERING, BIOMEDICAL - SCIE","6,852",3.96,Q2,0.84,8.77%
41,Journal of Intensive Care,2052-0492,2052-0492,CRITICAL CARE MEDICINE - SCIE,"1,863",3.95,Q2,0.73,100.00%
42,EUROPEAN CELLS & MATERIALS,1473-2262,1473-2262,"ENGINEERING, BIOMEDICAL - SCIE","3,742",3.94,Q2,1.05,100.00%
43,ANNALS OF BIOMEDICAL ENGINEERING,0090-6964,1573-9686,"ENGINEERING, BIOMEDICAL - SCIE","13,808",3.93,Q2,1.02,16.33%
44,Journal of the Mechanical Behavior of Biomedical Materials,1751-6161,1878-0180,"ENGINEERING, BIOMEDICAL - SCIE","15,308",3.90,Q2,0.91,5.57%
45,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,0957-4530,1573-4838,"ENGINEERING, BIOMEDICAL - SCIE","13,209",3.90,Q2,0.71,13.41%
46,Biomedical Signal Processing and Control,1746-8094,1746-8108,"ENGINEERING, BIOMEDICAL - SCIE","6,354",3.88,Q2,1.05,3.25%
47,Tissue Engineering Part A,1937-3341,1937-335X,"ENGINEERING, BIOMEDICAL - SCIE","11,228",3.85,Q2,0.91,3.89%
48,IEEE Transactions on Biomedical Circuits and Systems,1932-4545,1940-9990,"ENGINEERING, BIOMEDICAL - SCIE","4,012",3.83,Q2,1.13,0.00%
49,Regenerative Medicine,1746-0751,1746-076X,"ENGINEERING, BIOMEDICAL - SCIE","2,768",3.81,Q2,0.61,21.78%
50,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,1534-4320,1558-0210,"ENGINEERING, BIOMEDICAL - SCIE","9,404",3.80,Q2,1.53,0.12%
51,Biomedical Materials,1748-6041,1748-605X,"ENGINEERING, BIOMEDICAL - SCIE","4,944",3.72,Q2,0.82,9.52%
52,Current Opinion in Critical Care,1070-5295,1531-7072,CRITICAL CARE MEDICINE - SCIE,"3,861",3.69,Q2,0.58,1.88%
53,Pediatric Critical Care Medicine,1529-7535,1947-3893,CRITICAL CARE MEDICINE - SCIE,"8,709",3.62,Q2,1.22,0.63%
54,PHYSICS IN MEDICINE AND BIOLOGY,0031-9155,1361-6560,"ENGINEERING, BIOMEDICAL - SCIE","31,418",3.61,Q2,0.98,12.36%
55,CRITICAL CARE CLINICS,0749-0704,1557-8232,CRITICAL CARE MEDICINE - SCIE,"2,334",3.60,Q2,0.91,1.97%
56,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,0920-5063,1568-5624,"ENGINEERING, BIOMEDICAL - SCIE","5,668",3.52,Q2,0.69,0.24%
57,JOURNAL OF INTENSIVE CARE MEDICINE,0885-0666,1525-1489,CRITICAL CARE MEDICINE - SCIE,"2,651",3.51,Q2,0.7,4.02%
58,SHOCK,1073-2322,1540-0514,CRITICAL CARE MEDICINE - SCIE,"9,489",3.45,Q2,1.08,5.11%
59,JOURNAL OF CRITICAL CARE,0883-9441,1557-8615,CRITICAL CARE MEDICINE - SCIE,"9,746",3.43,Q2,0.7,5.96%
60,Regenerative Therapy,2352-3204,2352-3204,"ENGINEERING, BIOMEDICAL - SCIE",607,3.42,Q2,0.69,100.00%
61,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,1552-4973,1552-4981,"ENGINEERING, BIOMEDICAL - SCIE","11,215",3.37,Q2,0.73,7.29%
62,IEEE Journal of Translational Engineering in Health and Medicine-JTEHM,2168-2372,2168-2372,"ENGINEERING, BIOMEDICAL - SCIE",851,3.32,Q2,0.65,100.00%
63,Journal of Trauma and Acute Care Surgery,2163-0755,2163-0763,CRITICAL CARE MEDICINE - SCIE,"11,459",3.31,Q3,1,1.22%
64,Neurocritical Care,1541-6933,1556-0961,CRITICAL CARE MEDICINE - SCIE,"5,603",3.21,Q3,0.76,10.63%
65,Expert Review of Medical Devices,1743-4440,1745-2422,"ENGINEERING, BIOMEDICAL - SCIE","2,903",3.17,Q2,0.39,5.99%
66,LASERS IN MEDICAL SCIENCE,0268-8921,1435-604X,"ENGINEERING, BIOMEDICAL - SCIE","7,562",3.16,Q3,0.87,5.49%
67,SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,1069-3424,1098-9048,CRITICAL CARE MEDICINE - SCIE,"2,733",3.12,Q3,0.46,0.00%
68,ARTIFICIAL ORGANS,0160-564X,1525-1594,"ENGINEERING, BIOMEDICAL - SCIE","5,333",3.09,Q3,0.84,10.81%
69,Tissue Engineering Part C-Methods,1937-3384,1937-3392,"ENGINEERING, BIOMEDICAL - SCIE","3,973",3.06,Q3,0.61,8.16%
70,Minerva Anestesiologica,0375-9393,1827-1596,CRITICAL CARE MEDICINE - SCIE,"3,446",3.05,Q3,0.74,0.00%
71,Biomechanics and Modeling in Mechanobiology,1617-7959,1617-7940,"ENGINEERING, BIOMEDICAL - SCIE","4,076",2.96,Q3,0.74,21.11%
72,International Journal of Computer Assisted Radiology and Surgery,1861-6410,1861-6429,"ENGINEERING, BIOMEDICAL - SCIE","3,780",2.92,Q3,0.9,20.26%
73,ASAIO JOURNAL,1058-2916,1538-943X,"ENGINEERING, BIOMEDICAL - SCIE","4,888",2.87,Q3,0.85,1.57%
74,BIOMEDICAL MICRODEVICES,1387-2176,1572-8781,"ENGINEERING, BIOMEDICAL - SCIE","4,103",2.84,Q3,0.58,6.86%
75,PHYSIOLOGICAL MEASUREMENT,0967-3334,1361-6579,"ENGINEERING, BIOMEDICAL - SCIE","7,154",2.83,Q3,0.71,10.99%
76,Sports Biomechanics,1476-3141,1752-6116,"ENGINEERING, BIOMEDICAL - SCIE","1,547",2.83,Q3,0.77,0.38%
77,Biomedical Engineering Online,N/A,1475-925X,"ENGINEERING, BIOMEDICAL - SCIE","4,618",2.82,Q3,0.61,100.00%
78,International Journal for Numerical Methods in Biomedical Engineering,2040-7939,2040-7947,"ENGINEERING, BIOMEDICAL - SCIE","2,120",2.75,Q3,0.82,10.66%
79,BURNS,0305-4179,1879-1409,CRITICAL CARE MEDICINE - SCIE,"10,973",2.74,Q3,0.78,3.80%
80,Australian Critical Care,1036-7314,1878-1721,CRITICAL CARE MEDICINE - SCIE,"1,194",2.74,Q3,1.07,6.28%
81,JOURNAL OF BIOMECHANICS,0021-9290,1873-2380,"ENGINEERING, BIOMEDICAL - SCIE","35,320",2.71,Q3,0.69,5.90%
82,JOURNAL OF BIOMATERIALS APPLICATIONS,0885-3282,1530-8022,"ENGINEERING, BIOMEDICAL - SCIE","3,268",2.65,Q3,0.58,1.75%
83,Journal of Applied Biomaterials & Functional Materials,N/A,2280-8000,"ENGINEERING, BIOMEDICAL - SCIE",800,2.60,Q3,0.43,63.31%
84,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0140-0118,1741-0444,"ENGINEERING, BIOMEDICAL - SCIE","7,019",2.60,Q3,0.72,9.42%
85,INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,0020-1383,1879-0267,CRITICAL CARE MEDICINE - SCIE,"19,692",2.59,Q3,0.86,4.88%
86,Organogenesis,1547-6278,1555-8592,"ENGINEERING, BIOMEDICAL - SCIE","1,177",2.50,Q3,0.45,5.71%
87,Cardiovascular Engineering and Technology,1869-408X,1869-4098,"ENGINEERING, BIOMEDICAL - SCIE",783,2.50,Q3,0.51,15.03%
88,Medicina Intensiva,0210-5691,1578-6749,CRITICAL CARE MEDICINE - SCIE,"1,177",2.49,Q3,0.42,0.55%
89,Cellular and Molecular Bioengineering,1865-5025,1865-5033,"ENGINEERING, BIOMEDICAL - SCIE","1,217",2.32,Q3,0.49,7.04%
90,Respiratory Care,0020-1324,1943-3654,CRITICAL CARE MEDICINE - SCIE,"7,084",2.26,Q3,0.54,0.00%
91,MEDICAL ENGINEERING & PHYSICS,1350-4533,1873-4030,"ENGINEERING, BIOMEDICAL - SCIE","7,810",2.24,Q3,0.53,5.38%
92,AMERICAN JOURNAL OF CRITICAL CARE,1062-3264,1937-710X,CRITICAL CARE MEDICINE - SCIE,"3,068",2.23,Q4,0.96,0.00%
93,Critical Care and Resuscitation,1441-2772,N/A,CRITICAL CARE MEDICINE - SCIE,"1,252",2.16,Q4,0.49,0.00%
94,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,0148-0731,1528-8951,"ENGINEERING, BIOMEDICAL - SCIE","8,778",2.10,Q3,0.51,0.58%
95,CLINICAL BIOMECHANICS,0268-0033,1879-1271,"ENGINEERING, BIOMEDICAL - SCIE","10,509",2.06,Q3,0.68,4.60%
