1	The "All of Us" Research Program	31412182	New England Journal of Medicine
2	Evaluation and accurate diagnoses of pediatric diseases using artificial intelligence	30742121	Nature Medicine
3	A large electronic-health-record-based genome-wide study of serum lipids	29507422	Nature Genetics
4	Effect of Electronic Health Record-Based Medication Support and Nurse-Led Medication Therapy Management on Hypertension and Medication Self-management: A Randomized Clinical Trial	29987324	JAMA Intern Med
5	Prediction of myopia development among Chinese school-aged children using refraction data from electronic medical records: A retrospective, multicentre machine learning study	30399150	PLoS Medicine
6	Deep Phenotyping on Electronic Health Records Facilitates Genetic Diagnosis by Clinical Exomes	29961570	American Journal of Human Genetics
7	Methodological description of clinical research data collection through electronic medical records in a center participating in an international multicenter study	31553359	Einstein (Sao Paulo)
8	Association of Electronic Health Record Design and Use Factors With Clinician Stress and Burnout	31418810	JAMA Netw Open
9	A machine learning model to predict the risk of 30-day readmissions in patients with heart failure: a retrospective analysis of electronic medical records data	29929496	BMC Medical Informatics and Decision Making
10	Identifying heart failure using EMR-based algorithms	30409334	International Journal of Medical Informatics
11	An analysis of electronic health record-related patient safety incidents	26951568	Health Informatics J
12	AliClu - Temporal sequence alignment for clustering longitudinal clinical data	31888660	BMC Medical Informatics and Decision Making
13	Time Requirements for Electronic Health Record Use in an Academic Ophthalmology Center	29049512	JAMA Ophthalmol
14	Pharmacological risk factors associated with hospital readmission rates in a psychiatric cohort identified using prescriptome data mining	30255805	BMC Medical Informatics and Decision Making
15	Using big data to improve cardiovascular care and outcomes in China: a protocol for the CHinese Electronic health Records Research in Yinzhou (CHERRY) Study	29440217	BMJ Open
16	Characterizing phenotypes and outcomes of drug-associated liver injury using electronic medical record data	23258383	Pharmacoepidemiology and Drug Safety
17	Documenting or Operating: Where Is Time Spent in General Surgery Residency?	30522828	Journal of Surgical Education
18	Accelerating Biomarker Discovery Through Electronic Health Records, Automated Biobanking, and Proteomics	31047008	Journal of the American College of Cardiology
