ID,Name,ISSN
1,"	N Engl J Med","	0028-4793"
2,"	Nat Med","	1078-8956"
3,"	Nat Genet","	1061-4036"
4,"	JAMA Intern Med","	2168-6106"
5,"	PLoS Med","	1549-1277"
6,"	Am J Hum Genet","	0002-9297"
7,"	Einstein (Sao Paulo)","	1679-4508"
8,"	JAMA Netw Open","	2574-3805"
9,"	BMC Med Inform Decis Mak","	1472-6947"
10,"	Int J Med Inform","	1386-5056"
11,"	Health Informatics J","	1460-4582"
12,"	BMC Med Inform Decis Mak","	1472-6947"
13,"	JAMA Ophthalmol","	2168-6165"
14,"	BMC Med Inform Decis Mak","	1472-6947"
15,"	BMJ Open","	2044-6055"
16,"	Pharmacoepidemiol Drug Saf","	1053-8569"
17,"	J Surg Educ","	1878-7452"
18,"	J Am Coll Cardiol","	0735-1097"
19,"	BMC Med Inform Decis Mak","	1472-6947"
20,"	Ticks Tick Borne Dis","	1877-959x"
21,"	J Dent Educ","	0022-0337"
22,"	JAMA Netw Open","	2574-3805"
23,"	Int J Med Inform","	1386-5056"
24,"	J Ment Health","	0963-8237"
25,"	Comput Inform Nurs","	1538-2931"
26,"	J Clin Epidemiol","	0895-4356"
27,"	PLoS Med","	1549-1277"
28,"	Int J Med Inform","	1386-5056"
29,"	Int J Med Inform","	1386-5056"
30,"	J Nurs Adm","	0002-0443"
31,"	J Crit Care","	0883-9441"
32,"	Clin Orthop Relat Res","	0009-921x"
33,"	J Biomed Inform","	1532-0464"
34,"	Am J Kidney Dis","	0272-6386"
35,"	J Med Internet Res","	1439-4456"
36,"	PLoS One","	1932-6203"
37,"	Int J Med Inform","	1386-5056"
38,"	BMJ Open","	2044-6055"
39,"	J Clin Nurs","	0962-1067"
40,"	JAMA Netw Open","	2574-3805"
41,"	J Manag Care Spec Pharm","	"
42,"	AMIA Annu Symp Proc","	1559-4076"
43,"	Am J Nurs","	0002-936x"
44,"	JAMA Ophthalmol","	2168-6165"
45,"	Med Care","	0025-7079"
46,"	AMIA Annu Symp Proc","	1559-4076"
47,"	Int J Med Inform","	1386-5056"
48,"	BMC Med Inform Decis Mak","	1472-6947"
49,"	JAMA Ophthalmol","	2168-6165"
50,"	Surgery","	0039-6060"
51,"	J Med Internet Res","	1439-4456"
52,"	Pac Symp Biocomput","	2335-6936"
53,"	Int J Med Inform","	1386-5056"
54,"	BMC Med","	1741-7015"
55,"	BMC Fam Pract","	1471-2296"
56,"	Int J Geriatr Psychiatry","	0885-6230"
57,"	BMC Pregnancy Childbirth","	1471-2393"
58,"	BMC Health Serv Res","	1472-6963"
59,"	Pain Med","	1526-2375"
60,"	J Am Geriatr Soc","	0002-8614"
61,"	Am J Health Syst Pharm","	1079-2082"
62,"	J Patient Saf","	1549-8417"
63,"	Comput Methods Programs Biomed","	0169-2607"
64,"	Am J Ophthalmol","	0002-9394"
65,"	Malawi Med J","	1995-7262"
66,"	Prehosp Emerg Care","	1090-3127"
67,"	J Clin Pharm Ther","	0269-4727"
68,"	J Gen Intern Med","	0884-8734"
69,"	Comput Inform Nurs","	1538-2931"
70,"	Acad Med","	1040-2446"
71,"	J Manag Care Spec Pharm","	"
72,"	JAMA Ophthalmol","	2168-6165"
73,"	Int J Med Inform","	1386-5056"
74,"	Bmj","	0959-8138"
75,"	J Am Board Fam Med","	1557-2625"
76,"	Int J Med Inform","	1386-5056"
77,"	BMC Nephrol","	1471-2369"
78,"	Infect Control Hosp Epidemiol","	0899-823x"
79,"	Aust J Gen Pract","	"
