1	The "All of Us" Research Program	Accession 	Number	New England Journal of Medicine
2	Evaluation and accurate diagnoses of pediatric diseases using artificial intelligence	Accession 	Number	Nature Medicine
3	A large electronic-health-record-based genome-wide study of serum lipids	Accession 	Number	Nature Genetics
4	Effect of Electronic Health Record-Based Medication Support and Nurse-Led Medication Therapy Management on Hypertension and Medication Self-management: A Randomized Clinical Trial	Accession 	Number	JAMA Intern Med
5	Prediction of myopia development among Chinese school-aged children using refraction data from electronic medical records: A retrospective, multicentre machine learning study	Accession 	Number	PLoS Medicine
6	Deep Phenotyping on Electronic Health Records Facilitates Genetic Diagnosis by Clinical Exomes	Accession 	Number	American Journal of Human Genetics
7	Methodological description of clinical research data collection through electronic medical records in a center participating in an international multicenter study	Accession 	Number	Einstein (Sao Paulo)
8	Association of Electronic Health Record Design and Use Factors With Clinician Stress and Burnout	Accession 	Number	JAMA Netw Open
9	A machine learning model to predict the risk of 30-day readmissions in patients with heart failure: a retrospective analysis of electronic medical records data	Accession 	Number	BMC Medical Informatics and Decision Making
10	Identifying heart failure using EMR-based algorithms	Accession 	Number	International Journal of Medical Informatics
11	An analysis of electronic health record-related patient safety incidents	Accession 	Number	Health Informatics J
12	AliClu - Temporal sequence alignment for clustering longitudinal clinical data	Accession 	Number	BMC Medical Informatics and Decision Making
13	Time Requirements for Electronic Health Record Use in an Academic Ophthalmology Center	Accession 	Number	JAMA Ophthalmol
14	Pharmacological risk factors associated with hospital readmission rates in a psychiatric cohort identified using prescriptome data mining	Accession 	Number	BMC Medical Informatics and Decision Making
15	Using big data to improve cardiovascular care and outcomes in China: a protocol for the CHinese Electronic health Records Research in Yinzhou (CHERRY) Study	Accession 	Number	BMJ Open
16	Characterizing phenotypes and outcomes of drug-associated liver injury using electronic medical record data	Accession 	Number	Pharmacoepidemiology and Drug Safety
17	Documenting or Operating: Where Is Time Spent in General Surgery Residency?	Accession 	Number	Journal of Surgical Education
18	Accelerating Biomarker Discovery Through Electronic Health Records, Automated Biobanking, and Proteomics	Accession 	Number	Journal of the American College of Cardiology
19	How should electronic health records be designed? A cross-sectional study in patients with psoriasis	Accession 	Number	BMC Medical Informatics and Decision Making
20	Epidemiology of Lyme disease in Pennsylvania 2006-2014 using electronic health records	Accession 	Number	Ticks and Tick-Borne Diseases
21	Incidence and Determinants of Dental Implant Failure: A Review of Electronic Health Records in a U.S. Dental School	Accession 	Number	Journal of Dental Education
